id_alumno,cod_departamento,cod_asignatura,seccion,id_docente
10000001,DA,CYTB20,A,4695
10000001,DA,CYTB09,A,5333
10000002,DA,CYTB38,A,5837
10000002,DA,CYTB27,A,4366
10000002,DA,CYT748,A,5330
10000002,DA,CYTB61,A,4040
10000002,DA,CYTB30,A,4176
10000002,DA,CYTB26,A,6614
10000003,DA,CYTB40,A,3757
10000003,DA,CYTB14,A,41336
10000004,DA,CYTB15,A,2204113
10000004,DA,CYT906,A,5972
10000004,DA,CYTB28,A,4695
10000004,DA,CYTB34,B,434398
10000005,DA,CYTB32,A,6040
10000005,DA,CYTB12,A,28564
10000005,DA,CYTB23,A,6334
10000005,DA,CYTB27,A,4366
10000005,DA,CYTB14,A,41336
10000005,DA,CYTB28,A,4695
10000006,DA,CYTB26,A,6614
10000006,DA,CYTB48,A,3406
10000007,DA,CYTB25,B,6397
10000007,DA,CYTB33,B,535914
10000007,DA,CYTB06,A,3793
10000007,DA,CYTB12,A,28564
10000007,DA,CYTB58,A,5275
10000008,DA,CYTB59,A,374772
10000008,DA,CYTB11,A,4366
10000008,DA,CYTB46,A,3757
10000008,DA,CYTB33,B,535914
10000008,DA,CYTB52,A,434398
10000009,DA,CYTB34,B,434398
10000009,DA,CYTB55,A,4379
10000009,DA,CYT906,B,5205
10000010,DA,CYTB24,B,4366
10000010,DA,CYTB30,A,4176
10000010,DA,CYTB42,A,3406
10000010,DA,CYTB41,A,5239
10000010,DA,CYTB26,A,6614
10000010,DA,CYTB31,A,4366
10000011,DA,CYTB38,B,5837
10000012,DA,CYTP02,A,4414256
10000012,DA,CYTB05,A,1509649
10000012,DA,CYTB10,A,6367
10000012,DA,CYTB45,A,6374
10000012,DA,CYTB40,A,3757
10000013,DA,CYTB22,A,6123
10000014,DA,CYTB42,A,3406
10000014,DA,CYTB33,B,535914
10000014,DA,CYTB18,A,4484
10000015,DA,CYT113,A,5976
10000015,DA,CYTB29,A,5231
10000015,DA,CYTB17,A,4366
10000015,DA,CYTP01,B,1196209
10000016,DA,CYTB28,A,4695
10000016,DA,CYTB55,A,14328
10000016,DA,CYTB46,A,3757
10000016,DA,CYTB08,B,523950
10000017,DA,CYTB19,A,1165913
10000018,DA,CYTB35,A,4695
10000018,DA,CYTB31,A,4366
10000019,DA,CYTB21,A,41336
10000019,DA,CYTB28,A,4695
